RA,DEC,VMAG,INTEN
1.7677930939085396,-0.29175117701809655,-1.46,184.0
1.6753051879632737,-0.9197157937488453,-0.72,142.0
3.733528341608887,0.33479778376381225,-0.04,122.0
3.8379717529303137,-1.0617758985875616,-0.01,122.0
4.8735628646011495,0.6769017097019452,0.03,121.0
1.3818208020352105,0.802817518959714,0.08,120.0
1.3724323851005242,-0.14314608748440158,0.12,119.0
2.0040815858077057,0.09119345341670372,0.38,115.0
0.4263621196465648,-0.998968286199821,0.46,114.0
1.5497287482822817,0.12927556806785778,0.5,113.0
3.6818738679550713,-1.0537085989338988,0.61,112.0
5.195772461134952,0.15478161583103048,0.77,110.0
1.2039281180256884,0.2881393150938305,0.85,110.0
4.317100993628841,-0.46132445825977897,0.96,109.0
3.5133186954437186,-0.19480298520662265,0.98,108.0
2.0303197022293538,0.4891479154186552,1.14,107.0
6.011139382230187,-0.5170053095352092,1.16,107.0
5.416767505463517,0.7902899334398434,1.25,106.0
3.349810433352717,-1.0417627898313597,1.25,106.0
3.2576497766421992,-1.1012882135979887,1.33,106.0
3.8379862973407475,-1.0617807467243727,1.33,106.0
2.654522164794692,0.2088674300956103,1.35,106.0
1.8265961452903157,-0.505660669397246,1.5,105.0
4.597233610779147,-0.6475850264052515,1.63,104.0
3.277575618935802,-0.9968157134556949,1.63,104.0
1.4186545214575075,0.11082355936482882,1.64,104.0
1.4237159762882912,0.49929506576427785,1.65,104.0
2.4137903555081577,-1.2167950731223356,1.68,104.0
1.4670074139429672,-0.02097788798160962,1.7,104.0
3.2576934098734993,-1.1012930617347996,1.73,104.0
5.795511225351503,-0.8196260092837816,1.74,104.0
3.377335730097711,0.9766814012792158,1.77,104.0
2.1359921162323934,-0.8261806902523824,1.78,104.0
0.8915287263291369,0.8702405575916171,1.79,104.0
2.896061188860274,1.0777553575169319,1.79,104.0
1.8692112678598436,-0.46065056724303677,1.84,103.0
4.817857772641664,-0.6001266151614391,1.85,103.0
2.19262805045961,-1.0386405897250144,1.86,103.0
3.6108244229884683,0.860680031800137,1.86,103.0
4.61342881179661,-0.7504527932630729,1.87,103.0
1.568738292718587,0.7844818655401512,1.9,103.0
4.40113132490715,-1.2047619975571968,1.92,103.0
1.7353445142318789,0.28621945291663675,1.93,103.0
5.347899722061909,-0.9902125511189829,1.94,103.0
2.289450190713995,-0.9548405449452312,1.96,103.0
1.9835666948915553,0.5565564096401251,1.98,103.0
2.47656403093822,-0.15112127253865346,1.98,103.0
1.6698437618455746,-0.3133884116060151,1.98,103.0
4.186623087631831,0.4523941902537414,2.0,103.0
0.5548983468507305,0.4094978757491695,2.0,103.0
4.953528033163357,-0.45896341563277554,2.02,103.0
0.6624033565683644,1.5579536123823048,2.02,103.0
0.19019725523608208,-0.31392655479204673,2.04,103.0
1.4868387175687527,-0.03390786885680094,2.05,103.0
0.036601008855364416,0.5077259756787726,2.06,103.0
0.30426179405912807,0.6216959758340024,2.06,103.0
3.6943529721068304,-0.6347762489503376,2.06,103.0
1.5173747072734367,-0.16876849053104054,2.06,103.0
4.603022286131595,0.2192133540504878,2.08,103.0
3.8864337284940236,1.2942586030900174,2.08,103.0
5.945762257332565,-0.8182927716607303,2.1,103.0
0.8210392411642159,0.7148092914278998,2.12,103.0
3.0938578985477476,0.2543284089732515,2.14,103.0
3.3227432855363714,-0.8545083536396126,2.17,102.0
5.332977156957356,0.7026113792111839,2.2,102.0
2.391086530821798,-0.7580401273724372,2.21,102.0
0.17675094779050907,0.9867606777094828,2.23,102.0
1.44865236797616,-0.005221443345549702,2.23,102.0
4.078347224161233,0.466259861533474,2.23,102.0
4.697582770563605,0.8986506393046358,2.23,102.0
2.110037615814195,-0.6981898784394649,2.25,102.0
2.4307636824838026,-1.03454876225645,2.25,102.0
0.5406157358052436,0.7387930242323887,2.26,102.0
3.5077845472738534,0.9586269397946966,2.27,102.0
0.04004803412805322,1.0323574044178347,2.27,102.0
4.4076690373969125,-0.5985315781505887,2.29,102.0
3.5774304566336443,-0.9331645252628238,2.3,102.0
3.8481455680283974,-0.8270824436992462,2.3,102.0
3.8201184891234554,-0.7357920275463206,2.31,102.0
4.190244645829719,-0.3948225656219839,2.32,102.0
2.887829052555035,0.9840602655057029,2.37,102.0
5.690587848485778,0.17235126363444003,2.39,102.0
0.11468267626646074,-0.7383809326034454,2.39,102.0
4.635979920173422,-0.6812020070533868,2.41,102.0
6.037857464196134,0.4901369353281187,2.42,102.0
4.495873614469578,-0.2744481767392972,2.43,102.0
5.578857687537275,1.0923240086342734,2.44,102.0
3.1146709498777803,0.937149693721544,2.44,102.0
1.9377299854110546,-0.5114348003392606,2.45,102.0
5.43762419002485,0.5928931950392848,2.46,102.0
0.2474367824962794,1.059705744169224,2.47,102.0
6.042162609684387,0.2653821609025489,2.49,102.0
2.4526821090067648,-0.9601201659325138,2.5,102.0
